iter	Passed	Remaining
221	12168	42643
222	12224	42594
223	12278	42537
224	12331	42475
225	12382	42407
226	12434	42342
227	12489	42290
228	12541	42225
229	12595	42167
230	12647	42103
231	12727	42131
232	12781	42074
233	12835	42016
234	12889	41960
235	12940	41891
236	12993	41829
237	13044	41765
238	13098	41706
239	13150	41643
240	13202	41579
241	13253	41513
242	13308	41457
243	13362	41402
244	13415	41342
245	13468	41280
246	13519	41216
247	13574	41160
248	13627	41100
249	13639	40919
250	13690	40854
251	13743	40795
252	13796	40735
253	13848	40673
254	13899	40607
255	13953	40552
256	14005	40491
257	14060	40436
258	14111	40373
259	14164	40313
260	14216	40252
261	14268	40190
262	14322	40134
263	14372	40068
264	14449	40076
265	14508	40033
266	14561	39974
267	14612	39911
268	14663	39846
269	14714	39782
270	14771	39734
271	14823	39675
272	14876	39616
273	14929	39557
274	14983	39500
275	15040	39452
276	15096	39402
277	15149	39344
278	15202	39286
279	15255	39227
280	15308	39169
281	15361	39111
282	15415	39056
283	15466	38992
284	15520	38938
285	15574	38882
286	15628	38826
287	15681	38769
288	15734	38711
289	15786	38649
290	15840	38595
291	15849	38428
292	15902	38372
293	15954	38312
294	16006	38253
295	16061	38199
296	16112	38139
297	16172	38097
298	16249	38095
299	16301	38035
300	16353	37978
301	16405	37917
302	16457	37856
303	16507	37793
304	16561	37739
305	16613	37678
306	16663	37615
307	16719	37563
308	16771	37505
309	16805	37404
310	16858	37347
311	16909	37288
312	16963	37232
313	17013	37170
314	17066	37112
315	17122	37063
316	17176	37007
317	17228	36949
318	17282	36894
319	17338	36845
320	17389	36782
321	17440	36721
322	17492	36664
323	17543	36604
324	17596	36547
325	17648	36487
326	17701	36432
327	17755	36376
328	17807	36318
329	17862	36266
330	17917	36213
331	17999	36216
332	18053	36161
333	18104	36100
334	18156	36042
335	18207	35982
336	18260	35925
337	18313	35869
338	18366	35812
339	18421	35760
340	18474	35701
341	18530	35651
342	18582	35593
343	18635	35537
344	18689	35483
345	18742	35426
346	18796	35372
347	18850	35317
348	18902	35260
349	18954	35201
350	19009	35149
351	19065	35098
352	19116	35038
353	19170	34983
354	19222	34924
355	19275	34870
356	19331	34819
357	19384	34762
358	19439	34709
359	19493	34655
360	19547	34599
361	19600	34545
362	19652	34487
363	19705	34430
364	19781	34414
365	19835	34359
366	19887	34301
367	19944	34252
368	19996	34194
369	20049	34137
370	20104	34085
371	20158	34030
372	20210	33973
373	20268	33924
374	20319	33865
375	20372	33809
376	20427	33757
377	20479	33698
378	20532	33642
379	20563	33551
380	20615	33492
381	20669	33438
382	20723	33385
383	20774	33326
384	20830	33274
385	20887	33224
386	20941	33171
387	20997	33119
388	21052	33066
389	21107	33014
390	21164	32963
391	21220	32914
392	21279	32867
393	21333	32812
394	21385	32754
395	21438	32699
396	21493	32645
397	21573	32630
398	21630	32581
399	21681	32522
400	21734	32466
401	21787	32410
402	21845	32362
403	21899	32307
404	21953	32253
405	22008	32200
406	22061	32143
407	22115	32089
408	22170	32036
409	22225	31982
410	22280	31929
411	22334	31875
412	22390	31823
413	22443	31768
414	22496	31711
415	22549	31655
416	22604	31603
417	22658	31548
418	22716	31499
419	22768	31442
420	22820	31385
421	22875	31332
422	22929	31276
423	22980	31219
424	23040	31173
425	23092	31115
426	23146	31061
427	23203	31009
428	23258	30957
429	23336	30934
430	23390	30880
431	23444	30824
432	23497	30769
433	23550	30713
434	23612	30669
435	23665	30613
436	23715	30553
437	23771	30501
438	23824	30445
439	23879	30391
440	23930	30333
441	23985	30280
442	24040	30227
443	24093	30170
444	24144	30112
445	24210	30073
446	24263	30016
447	24317	29962
448	24372	29909
449	24429	29857
450	24481	29801
451	24532	29743
452	24589	29691
453	24644	29638
454	24697	29582
455	24751	29528
456	24805	29473
457	24860	29419
458	24916	29367
459	24969	29312
460	25022	29256
461	25103	29233
462	25159	29181
463	25214	29126
464	25268	29072
465	25324	29020
466	25380	28967
467	25431	28908
468	25486	28855
469	25544	28805
470	25596	28748
471	25649	28692
472	25704	28639
473	25758	28584
474	25811	28528
475	25862	28470
476	25916	28416
477	25970	28361
478	26021	28303
479	26073	28246
480	26125	28189
481	26179	28134
482	26232	28079
483	26285	28022
484	26339	27968
485	26392	27912
486	26445	27857
487	26496	27799
488	26551	27746
489	26607	27693
490	26661	27638
491	26712	27580
492	26765	27525
493	26816	27468
494	26899	27442
495	26950	27385
496	27004	27330
497	27057	27274
498	27112	27220
499	27163	27163
500	27218	27110
501	27274	27056
502	27326	27000
503	27382	26948
504	27433	26890
505	27491	26839
506	27548	26787
507	27608	26738
508	27664	26686
509	27717	26630
510	27770	26574
511	27822	26518
512	27878	26465
513	27931	26410
514	27985	26355
515	28037	26298
516	28094	26246
517	28144	26188
518	28202	26137
519	28256	26083
520	28307	26025
521	28362	25971
522	28415	25916
523	28472	25864
524	28527	25811
525	28579	25754
526	28636	25701
527	28712	25667
528	28771	25616
529	28825	25561
530	28879	25507
531	28934	25453
532	28986	25397
533	29040	25342
534	29092	25286
535	29144	25229
536	29197	25174
537	29249	25117
538	29302	25061
539	29357	25008
540	29411	24953
541	29462	24895
542	29514	24839
543	29567	24784
544	29620	24729
545	29678	24677
546	29729	24620
547	29781	24564
548	29834	24509
549	29885	24451
550	29944	24401
551	29995	24344
552	30051	24290
553	30106	24237
554	30157	24180
555	30211	24125
556	30266	24071
557	30317	24014
558	30367	23957
559	30418	23900
560	30503	23869
561	30557	23815
562	30608	23757
563	30660	23701
564	30715	23647
565	30770	23594
566	30821	23537
567	30873	23481
568	30926	23425
569	30978	23369
570	31035	23317
571	31088	23262
572	31140	23205
573	31191	23149
574	31244	23093
575	31299	23039
576	31351	22984
577	31407	22931
578	31459	22874
579	31512	22819
580	31567	22765
581	31619	22709
582	31671	22653
583	31724	22598
584	31778	22543
585	31832	22488
586	31884	22433
587	31936	22377
588	31990	22322
589	32041	22265
590	32092	22209
591	32144	22153
592	32224	22116
593	32278	22062
594	32331	22006
595	32386	21952
596	32437	21896
597	32490	21841
598	32543	21786
599	32595	21730
600	32646	21674
601	32699	21618
602	32752	21563
603	32808	21510
604	32861	21455
605	32915	21400
606	32972	21347
607	33028	21294
608	33079	21238
609	33130	21181
610	33187	21128
611	33239	21073
612	33289	21016
613	33342	20961
614	33403	20911
615	33460	20858
616	33512	20802
617	33571	20751
618	33626	20697
619	33678	20641
620	33731	20586
621	33783	20530
622	33839	20477
623	33892	20422
624	33969	20381
625	34022	20326
626	34076	20272
627	34130	20217
628	34184	20162
629	34240	20109
630	34292	20054
631	34343	19997
632	34397	19943
633	34453	19889
634	34504	19833
635	34565	19782
636	34623	19730
637	34675	19674
638	34728	19619
639	34781	19564
640	34836	19510
641	34893	19457
642	34945	19402
643	35001	19348
644	35053	19293
645	35107	19238
646	35161	19184
647	35216	19129
648	35268	19074
649	35320	19018
650	35373	18963
651	35428	18909
652	35481	18854
653	35532	18798
654	35583	18742
655	35637	18687
656	35716	18646
657	35769	18591
658	35820	18535
659	35871	18479
660	35924	18424
661	35975	18368
662	36025	18311
663	36080	18257
664	36134	18203
665	36185	18147
666	36237	18091
667	36293	18037
668	36345	17982
669	36398	17927
670	36451	17872
671	36503	17817
672	36558	17763
673	36612	17708
674	36663	17652
675	36717	17598
676	36767	17542
677	36819	17486
678	36885	17437
679	36939	17383
680	36990	17327
681	37042	17272
682	37095	17216
683	37148	17162
684	37198	17106
685	37250	17050
686	37306	16996
687	37358	16941
688	37411	16886
689	37492	16844
690	37544	16789
691	37597	16734
692	37648	16678
693	37700	16623
694	37751	16567
695	37802	16511
696	37854	16456
697	37904	16400
698	37954	16343
699	38010	16290
700	38062	16235
701	38113	16179
702	38166	16124
703	38219	16069
704	38271	16014
705	38324	15959
706	38375	15904
707	38426	15848
708	38479	15793
709	38534	15739
710	38589	15685
711	38643	15631
712	38694	15575
713	38743	15519
714	38797	15464
715	38850	15410
716	38902	15354
717	38956	15300
718	39009	15245
719	39061	15190
720	39112	15135
721	39195	15091
722	39247	15036
723	39299	14981
724	39351	14926
725	39404	14871
726	39459	14817
727	39514	14763
728	39568	14709
729	39620	14654
730	39674	14599
731	39729	14545
732	39785	14492
733	39837	14437
734	39890	14382
735	39943	14327
736	39993	14271
737	40047	14217
738	40099	14162
739	40153	14107
740	40205	14052
741	40258	13998
742	40312	13943
743	40363	13888
744	40415	13833
745	40469	13779
746	40520	13723
747	40572	13668
748	40625	13614
749	40678	13559
750	40730	13504
751	40782	13449
752	40834	13394
753	40913	13348
754	40967	13294
755	41018	13238
756	41070	13183
757	41123	13129
758	41174	13073
759	41225	13018
760	41278	12963
761	41329	12908
762	41379	12853
763	41432	12798
764	41488	12744
765	41542	12690
766	41594	12635
767	41648	12581
768	41706	12528
769	41760	12473
770	41815	12419
771	41868	12365
772	41923	12311
773	41977	12257
774	42032	12202
775	42085	12148
776	42137	12093
777	42189	12038
778	42241	11983
779	42293	11928
780	42345	11874
781	42398	11819
782	42450	11764
783	42502	11709
784	42554	11655
785	42632	11607
786	42684	11552
787	42736	11497
788	42789	11443
789	42841	11388
790	42892	11333
791	42944	11278
792	42999	11224
793	43055	11170
794	43109	11116
795	43161	11061
796	43216	11007
797	43267	10952
798	43319	10897
799	43376	10844
800	43428	10789
801	43481	10734
802	43535	10680
803	43588	10626
804	43639	10571
805	43692	10516
806	43744	10461
807	43797	10407
808	43850	10352
809	43905	10298
810	43956	10243
811	44010	10189
812	44065	10135
813	44117	10080
814	44171	10026
815	44224	9972
816	44276	9917
817	44352	9868
818	44408	9814
819	44460	9759
820	44512	9705
821	44564	9650
822	44616	9595
823	44667	9540
824	44718	9485
825	44770	9431
826	44826	9377
827	44880	9322
828	44934	9268
829	44990	9214
830	45043	9160
831	45095	9105
832	45146	9050
833	45199	8996
834	45252	8942
835	45303	8887
836	45353	8832
837	45404	8777
838	45459	8723
839	45515	8669
840	45568	8615
841	45621	8560
842	45675	8506
843	45726	8451
844	45776	8396
845	45827	8342
846	45879	8287
847	45931	8233
848	45984	8178
849	46063	8128
850	46118	8074
851	46172	8020
852	46226	7966
853	46277	7911
854	46332	7857
855	46384	7802
856	46436	7748
857	46490	7694
858	46541	7639
859	46591	7584
860	46646	7530
861	46702	7476
862	46756	7422
863	46809	7368
864	46862	7313
865	46915	7259
866	46966	7204
867	47018	7150
868	47070	7095
869	47122	7041
870	47173	6986
871	47229	6932
872	47282	6878
873	47333	6823
874	47385	6769
875	47438	6715
876	47491	6660
877	47542	6606
878	47596	6551
879	47648	6497
880	47702	6443
881	47754	6388
882	47835	6338
883	47888	6283
884	47939	6229
885	47993	6175
886	48048	6121
887	48101	6066
888	48154	6012
889	48204	5957
890	48256	5903
891	48308	5849
892	48366	5795
893	48417	5740
894	48471	5686
895	48526	5632
896	48579	5578
897	48632	5523
898	48686	5469
899	48736	5415
900	48789	5360
901	48840	5306
902	48892	5252
903	48949	5198
904	49006	5144
905	49062	5090
906	49115	5036
907	49169	4981
908	49219	4927
909	49271	4873
910	49323	4818
911	49375	4764
912	49427	4709
913	49483	4655
914	49559	4603
915	49614	4549
916	49668	4495
917	49722	4441
918	49776	4387
919	49831	4333
920	49885	4279
921	49940	4224
922	49992	4170
923	50045	4116
924	50097	4061
925	50153	4007
926	50207	3953
927	50259	3899
928	50312	3845
929	50366	3791
930	50417	3736
931	50470	3682
932	50522	3628
933	50575	3573
934	50627	3519
935	50679	3465
936	50761	3413
937	50815	3358
938	50870	3304
939	50922	3250
940	50974	3196
941	51025	3141
942	51079	3087
943	51131	3033
944	51184	2979
945	51235	2924
946	51311	2871
947	51364	2817
948	51415	2763
949	51468	2708
950	51521	2654
951	51573	2600
952	51628	2546
953	51682	2492
954	51737	2437
955	51790	2383
956	51841	2329
957	51895	2275
958	51948	2220
959	52003	2166
960	52056	2112
961	52108	2058
962	52162	2004
963	52216	1950
964	52272	1895
965	52326	1841
966	52379	1787
967	52434	1733
968	52490	1679
969	52546	1625
970	52601	1571
971	52658	1516
972	52714	1462
973	52789	1409
974	52844	1354
975	52898	1300
976	52950	1246
977	53008	1192
978	53085	1138
979	53139	1084
980	53192	1030
981	53246	976
982	53299	921
983	53355	867
984	53409	813
985	53461	759
986	53513	704
987	53566	650
988	53620	596
989	53672	542
990	53724	487
991	53789	433
992	53840	379
993	53896	325
994	53952	271
995	54007	216
996	54059	162
997	54112	108
998	54166	54
999	54221	0
